Slider,x,first,second
1983,'Cyprus',0.0,51.405078
1983,'Denmark',84.368125,0.0
1983,'Finland',3.51706,70.538468
1983,'France',164.059809,0.0
1983,'Germany',494.657126,0.0
1983,'India',0.0,2653.699004
1983,'Italy',33.51346,147.595542
1983,'Japan',1760.860027,0.0
1983,'Korea',0.0,665.624126
1983,'Kuwait',154.970641,0.0
1983,'Liechtenstein',0.063282,0.0
1983,'Netherlands',305.883422,0.0
1983,'New Zealand',0.216892,0.0
1983,'Poland',0.0,0.063282
1983,'Saudi Arabia',79.371799,206.745775
1983,'Sweden',136.226862,0.0
1983,'Switzerland',190.42709,0.0
1983,'Taiwan',0.0,54.105626
1983,'Thailand',0.0,1165.432587
1983,'United Arab Emirates',0.0,0.598545
1983,'United Kingdom',571.67992,0.0
1983,'United States',1091.122225,0.0
1984,'Australia',3.698286,0.0
1984,'Brazil',0.0,643.593148
1984,'Canada',691.336664,153.022875
1984,'Chile',0.0,314.012953
1984,'Colombia',0.0,204.495135
1984,'Cyprus',0.0,79.282641
1984,'Denmark',131.061636,62.021691
1984,'Finland',0.0,26.553629
1984,'France',367.362828,0.0
1984,'Germany',950.183614,0.0
1984,'India',0.0,4584.531386
1984,'Italy',225.774377,551.936148
1984,'Japan',2565.737016,166.832089
1984,'Korea',0.0,891.180603
1984,'Kuwait',27.051193,0.0
1984,'Netherlands',192.857428,0.0
1984,'Norway',101.664449,0.0
1984,'Portugal',0.0,1.82651
1984,'Saudi Arabia',346.714096,59.201063
1984,'Sweden',133.481767,0.0
1984,'Switzerland',116.248354,0.0
1984,'Taiwan',0.0,247.894043
1984,'Thailand',0.0,1135.099078
1984,'United Arab Emirates',0.0,0.505928
1984,'United Kingdom',753.538727,0.0
1984,'United States',2515.278485,0.0
1985,'Australia',6.929573,0.0
1985,'Austria',87.348212,0.0
1985,'Belgium',4.191839,0.0
1985,'Brazil',0.0,1150.188786
1985,'Canada',146.523445,0.0
1985,'Chile',0.0,624.81134
1985,'Colombia',0.0,835.091486
1985,'Cyprus',0.0,39.214175
1985,'Denmark',154.044569,0.0
1985,'France',212.486003,0.0
1985,'Germany',1590.619838,0.0
1985,'Greece',0.0,36.819257
1985,'Hungary',0.0,31.296368
1985,'India',0.0,1837.835819
1985,'Italy',164.182162,0.0
1985,'Japan',2525.82788,269.876498
1985,'Korea',0.0,907.605958
1985,'Kuwait',0.0,0.52441
1985,'Netherlands',75.285016,0.0
1985,'New Zealand',4.831732,0.0
1985,'Norway',85.932533,0.0
1985,'Poland',0.0,1014.259163
1985,'Saudi Arabia',128.074768,35.529584
1985,'Sweden',123.90361,0.0
1985,'Switzerland',52.165585,0.0
1985,'Taiwan',0.0,28.782961
1985,'Thailand',0.0,1151.123605
1985,'United Arab Emirates',0.0,136.260119
1985,'United Kingdom',1.255318,0.0
1985,'United States',2735.617446,0.0
1986,'Australia',25.229662,0.0
1986,'Austria',15.801537,0.0
1986,'Brazil',0.0,398.238987
1986,'Canada',392.105553,0.0
1986,'Chile',0.0,123.522992
1986,'Colombia',0.0,310.212012
1986,'Cyprus',0.0,56.716357
