Slider,x,second
1991,Thailand,1898.189675
1991,India,3660.869551
1992,Korea,3.337566
1992,Lithuania,8.257205
1992,Slovenia,10.62491
1992,Estonia,16.023398
1992,Cyprus,29.261936
1992,Norway,62.668301
1992,Latvia,106.443347
1992,Saudi Arabia,148.479604
1992,Romania,174.75662
1992,Hungary,179.864578
1992,Australia,193.553716
1992,Czech Republic,212.986243
1992,South Africa,234.490451
1992,Brazil,269.771857
1992,Colombia,492.185858
1992,Chile,686.092378
1992,Thailand,1014.335727
1992,India,5341.953099
1992,Kuwait,7406.838194
1992,Poland,9141.850218
1993,Slovenia,2.60952
1993,Korea,3.157283
1993,Slovak Republic,9.121048
1993,Qatar,9.564499
1993,Estonia,38.33784
1993,Cyprus,42.046495
1993,Latvia,52.648796
1993,Norway,67.085688
1993,Lithuania,73.709134
1993,Australia,79.262311
1993,Canada,83.925439
1993,Romania,92.433527
1993,Austria,132.570772
1993,Czech Republic,170.159661
1993,Chile,246.885634
1993,Italy,277.419753
1993,Hungary,322.532354
1993,Poland,367.250867
1993,Luxembourg,415.719806
1993,South Africa,541.955585
1993,Colombia,648.542403
1993,Brazil,726.672442
1993,India,1327.287513
1993,Thailand,3338.548445
1994,Qatar,1.252342
1994,Taiwan,2.655902
1994,Saudi Arabia,5.682814
1994,Kuwait,6.860796
1994,United Arab Emirates,9.485289
1994,Slovenia,12.375582
1994,Estonia,25.652518
1994,Latvia,28.380386
1994,Lithuania,28.739967
1994,Cyprus,46.104382
1994,Romania,47.195859
1994,Slovak Republic,52.553361
1994,Chile,98.616016
1994,Colombia,303.016912
1994,Australia,321.233163
1994,Hungary,393.976481
1994,Poland,431.842731
1994,Czech Republic,487.593167
1994,South Africa,516.230795
1994,Italy,524.992994
1994,Korea,1076.359694
1994,Thailand,1416.098158
1994,Brazil,2807.702721
1994,India,4096.778597
1995,Qatar,0.34643
1995,Cyprus,1.233692
1995,United Arab Emirates,1.579978
1995,Taiwan,2.561779
1995,Korea,3.947605
1995,Saudi Arabia,7.397882
1995,Slovenia,7.405043
1995,Estonia,18.418713
1995,Latvia,39.0089
1995,Slovak Republic,75.586685
1995,Lithuania,83.881095
1995,Czech Republic,182.015721
1995,Romania,189.810215
1995,Kuwait,302.540263
1995,Chile,326.285394
1995,Hungary,330.369147
1995,Australia,343.759453
1995,Colombia,586.866583
1995,South Africa,626.257607
1995,Thailand,792.655526
1995,Brazil,2573.830958
1995,India,2704.173002
1995,Poland,3376.022477
1996,Austria,0.056293
1996,Kuwait,0.612124
1996,Qatar,0.836714
1996,United Arab Emirates,1.038083
1996,Saudi Arabia,2.409008
1996,Taiwan,9.333721
1996,Cyprus,17.809922
1996,Latvia,25.04488
1996,Estonia,30.94297
1996,Czech Republic,35.124917
1996,Chile,66.19593
1996,Lithuania,89.02673
1996,Slovenia,90.121406
1996,Slovak Republic,120.767538
1996,Romania,240.362515
1996,Hungary,349.275403
1996,Poland,359.200576
1996,Korea,369.583888
1996,South Africa,974.078843
1996,Colombia,1052.281529
1996,Thailand,1671.334558
1996,Brazil,1902.899155
1996,India,4151.165519
1997,Kuwait,0.530951
1997,United Arab Emirates,1.002901
1997,Saudi Arabia,2.120366
1997,Taiwan,2.454079
1997,Slovenia,7.858148
1997,Estonia,8.307811
1997,Cyprus,9.602634
1997,Lithuania,20.43539
1997,Latvia,22.485213
1997,Hungary,53.047029
1997,Colombia,94.226174
1997,Czech Republic,99.553819
1997,Romania,168.02813
1997,Chile,180.051006
1997,Slovak Republic,219.387257
1997,Poland,309.290589
1997,South Africa,694.29077
1997,Qatar,705.173409
1997,Korea,1019.452888
1997,Brazil,2033.092975
1997,India,4794.906726
1997,Thailand,6371.021429
1998,United Arab Emirates,0.461121
1998,Cyprus,0.563689
1998,Qatar,0.582329
1998,Kuwait,0.733164
1998,Taiwan,0.876129
1998,Saudi Arabia,1.348961
1998,Slovenia,8.484412
1998,Korea,10.79365
1998,Estonia,20.250742
1998,Slovak Republic,22.763026
1998,Hungary,27.853171
1998,Latvia,46.078691
1998,Lithuania,61.227246
1998,Czech Republic,120.505911
1998,Australia,133.17698
1998,Chile,279.286896
1998,Poland,338.02684
1998,Romania,339.859562
1998,Colombia,407.763235
1998,South Africa,666.789364
1998,Brazil,1758.37421
1998,Thailand,2437.534353
1998,India,2478.951563
1999,Qatar,0.491169
1999,United Arab Emirates,0.59552
1999,Kuwait,0.868779
1999,Estonia,9.20187
1999,Latvia,10.570801
1999,Lithuania,12.053667
1999,Slovenia,12.831539
1999,Cyprus,19.380977
1999,Hungary,26.274654
1999,Czech Republic,82.522618
1999,Slovak Republic,132.187615
1999,Ireland,174.812788
1999,Romania,222.375326
1999,Japan,276.896345
1999,Chile,312.658747
1999,Poland,377.114427
1999,Taiwan,603.873086
1999,South Africa,669.943614
1999,Colombia,881.928095
1999,Brazil,1319.316622
1999,India,1932.216592
1999,Saudi Arabia,2722.986716
1999,Thailand,3761.639876
1999,Korea,5783.774361
2000,Italy,0.092408
2000,Switzerland,0.184816
2000,United Arab Emirates,0.628944
2000,Qatar,0.673904
2000,Kuwait,0.959746
2000,Cyprus,5.189473
2000,Latvia,14.205663
2000,Estonia,16.010329
2000,Lithuania,16.83658
2000,Slovak Republic,24.767414
2000,Hungary,29.607289
2000,Slovenia,32.556545
2000,Chile,143.596162
2000,Czech Republic,145.892164
2000,Ireland,171.345603
2000,Romania,223.359836
2000,Korea,444.810035
2000,Poland,632.761107
2000,Saudi Arabia,707.503988
2000,South Africa,737.221627
2000,Taiwan,779.075653
2000,Brazil,1106.359401
2000,India,1141.656334
2000,Thailand,1792.837766
2000,Colombia,1899.134643
2001,Qatar,0.771977
2001,United Arab Emirates,2.140111
2001,Kuwait,4.044688
2001,Saudi Arabia,5.047242
2001,Taiwan,13.68933
2001,Slovenia,13.913044
2001,Latvia,22.714406
2001,Estonia,24.044423
2001,Cyprus,26.26386
2001,Lithuania,30.635613
2001,Slovak Republic,52.945385
2001,Czech Republic,65.382378
2001,Hungary,71.227382
2001,Austria,171.695803
2001,Ireland,175.063408
2001,Chile,290.131143
2001,Thailand,532.323112
2001,Colombia,585.022135
2001,Romania,636.869083
2001,Poland,670.468736
2001,Korea,864.874549
2001,South Africa,935.444476
2001,Brazil,1574.635711
2001,India,2198.367696
2002,United States,0.00492
